"draw","rank_one_fraction"
1,0.911452556636238
2,0.901078161750379
3,0.907924892090084
4,0.913561631774775
5,0.900883691933632
6,0.895847395831053
7,0.905265734219024
8,0.868217427857055
9,0.868922269101975
10,0.82819104821485
11,0.864948729159743
12,0.84997293390821
13,0.905003149827206
14,0.895154208553353
15,0.841436458534072
16,0.91052208933501
17,0.901985589227775
18,0.875424556072683
19,0.854435341784593
20,0.878336733529098
21,0.876706984358857
22,0.902803784722247
23,0.87795105203211
24,0.874566733494962
25,0.903837571652636
26,0.855744365704379
27,0.904476410192798
28,0.891088881369086
29,0.881728256570586
30,0.895491815245835
31,0.924066451823016
32,0.90455502971657
33,0.873624668695012
34,0.888567399329845
35,0.933534644170277
36,0.877627737002043
37,0.87560379806859
38,0.849413802884523
39,0.900378295309571
40,0.882109676847025
41,0.884460101756906
42,0.891385152590158
43,0.880135818666941
44,0.853964703938557
45,0.903281222940617
46,0.922331521836791
47,0.895321975873965
48,0.892065871478923
49,0.868537886704085
50,0.865783602333111
51,0.892399614653821
52,0.906707311993734
53,0.888341319215153
54,0.869384176921134
55,0.846253514979965
56,0.876205401463044
57,0.852233504656104
58,0.837177103807349
59,0.917247453749811
60,0.927668978242968
61,0.90683320605281
62,0.903145508544765
63,0.876085240400711
64,0.858024629025781
65,0.892562496348214
66,0.904188541183944
67,0.902817585912381
68,0.877111823952911
69,0.899845787385399
70,0.886119124851495
71,0.878002348796163
72,0.882695389377121
73,0.876569820105882
74,0.879507552318336
75,0.898111402194741
76,0.896429086578347
77,0.881648833782605
78,0.852995511076624
79,0.87233616466129
80,0.865480856161984
81,0.888043757498774
82,0.870895295149065
83,0.821869913467218
84,0.848568960468306
85,0.918409868361087
86,0.884474537561698
87,0.876973846829746
88,0.893668883282416
89,0.819473864968767
90,0.804839751462621
91,0.842731230421771
92,0.888873292417189
93,0.924287425019929
94,0.914849590986345
95,0.876640858004447
96,0.880541144662725
97,0.836851620684451
98,0.93158975173367
99,0.903744310234981
100,0.906096079924992
101,0.902766645622413
102,0.899325786795225
103,0.868419774577493
104,0.877883608270973
105,0.892318523245254
106,0.873044250833749
107,0.866843563798454
108,0.898280475210789
109,0.810168230890556
110,0.877585228176394
111,0.868827441161584
112,0.849641477815066
113,0.866636836818075
114,0.883756203911714
115,0.900753278400866
116,0.873382944705776
117,0.860872685351261
118,0.868846259189411
119,0.873483462082777
120,0.908762770543713
121,0.913289544940509
122,0.886825825505769
123,0.876752151716946
124,0.89425067981175
125,0.834885534183841
126,0.866254113340933
127,0.901248122372168
128,0.89786033269275
129,0.874236555127967
130,0.858581889264368
131,0.866214289543346
132,0.85027340371006
133,0.890361866933909
134,0.862750944419954
135,0.883770834230762
136,0.885774238729783
137,0.884907106299508
138,0.917366161399902
139,0.857906698213674
140,0.889406425700569
141,0.880498497015653
142,0.872091709490622
143,0.898936064294625
144,0.85652588528577
145,0.850960990451052
146,0.833104590596183
147,0.808092028192647
148,0.833614057946927
149,0.848913525069737
150,0.87586089373516
151,0.872399248678447
152,0.885525823566142
153,0.87841307722016
154,0.892265847685772
155,0.88455601003465
156,0.860428961194015
157,0.855700077271899
158,0.813156231614827
159,0.86456474860781
160,0.860879252174753
161,0.861654284651769
162,0.858313034310628
163,0.852189002308615
164,0.817825759706378
165,0.826115257863702
166,0.862029115688729
167,0.836652711204507
168,0.894488449755805
169,0.863572748096367
170,0.897560366845748
171,0.887434585029088
172,0.879693552375914
173,0.910176712389205
174,0.898305084098625
175,0.877053317194263
176,0.91397415045348
177,0.886140775427887
178,0.872384840361278
179,0.829301291400037
180,0.920217282977805
181,0.92209431348801
182,0.880576670755036
183,0.911890571424899
184,0.893785917259334
185,0.914422214962736
186,0.870403728031844
187,0.932039206859944
188,0.888574316309914
189,0.811531631216044
190,0.87910965309377
191,0.866975471911755
192,0.832259569783356
193,0.816078675205534
194,0.908837014616785
195,0.889082379298815
196,0.923608217359297
197,0.83745038497408
198,0.811073638606878
199,0.83297449173736
200,0.884846875341635
201,0.898895314141785
202,0.889875737026347
203,0.912947788419175
204,0.929124020093481
205,0.912962045993067
206,0.853128513624674
207,0.926408974035762
208,0.907544385214932
209,0.866004258764873
210,0.862910778272608
211,0.85830089081103
212,0.873440974433502
213,0.885734481607809
214,0.891563855254156
215,0.837025211922759
216,0.84300452933996
217,0.81981215291518
218,0.86023716009206
219,0.898074582264302
220,0.908377879147699
221,0.866405074316262
222,0.816869052721462
223,0.878275929073946
