contrast,group,estimate,SE,df,lower.CL,upper.CL,t.ratio,p.value
Foreleg - Midleg,female,-0.0021877222949362057,0.0588516202280218,648.0001671897732,-0.14344409369353026,0.13906864910365782,-0.037173527023722217,0.9703580950451771
Foreleg - Hindleg,female,-0.21336404801303682,0.05885162022802176,648.0001671897732,-0.35462041941163075,-0.0721076766144429,-3.625457501192892,9.332794403668628e-4
Midleg - Hindleg,female,-0.2111763257181006,0.058851620228021595,648.0001671897425,-0.3524326971166941,-0.06991995431950707,-3.5882839741691797,9.332794403668628e-4
Foreleg - Midleg,eighth,-0.013048759023511278,0.04774720721478767,648.5536696532782,-0.1276519292731181,0.10155441122609556,-0.27328842428023686,0.7847185151135294
Foreleg - Hindleg,eighth,0.11053848695482099,0.0479840477737284,649.4470808730819,-0.004632737555528815,0.2257097114651708,2.303650735679318,0.04311432310177016
Midleg - Hindleg,eighth,0.12358724597833229,0.047997098612929064,648.8981480362332,0.008384443757979282,0.2387900481986853,2.57488993188937,0.03074280975791822
Foreleg - Midleg,ninth,-0.03767278661916027,0.04565267814741031,648.0001671897425,-0.14724889743387234,0.07190332419555182,-0.8252043066896678,1
Foreleg - Hindleg,ninth,-0.04216733809509021,0.04565267814741031,648.0001671897425,-0.1517434489098023,0.06740877271962187,-0.923655299234229,1
Midleg - Hindleg,ninth,-0.00449455147592992,0.04565267814741034,648.0001671897425,-0.11407066229064208,0.10508155933878224,-0.09845099254456059,1
Foreleg - Midleg,tenth,-0.13276293038520456,0.12105209997251784,648.0001671897425,-0.42331364633908686,0.1577877855686777,-1.09674206738541,0.33961754468229866
Foreleg - Hindleg,tenth,-0.2991306490977782,0.12105209997251783,648.0001671897425,-0.5896813650516604,-0.00857993314389599,-2.471090127025381,0.04117882835510862
Midleg - Hindleg,tenth,-0.16636771871257364,0.12105209997251788,648.0001671897425,-0.456918434666456,0.12418299724130868,-1.3743480596399702,0.33961754468229866
