trait,group,n,adjusted_log_mean,adjusted_geometric_mean,adjusted_mean_variance,body_size_slope,residual_sd,residual_df
foreleg,Female,118,3.1645115944063815,23.677177142636527,2.7954039126911543e-5,0.7106991384515104,0.031624071129343574,116
foreleg,Eighth instar,78,3.2212206012988234,25.058688189218127,1.0318110907835528e-4,0.7408490867964596,0.037354306916871756,76
foreleg,Ninth instar,79,3.2721513262039865,26.36800454787196,2.8305320827262568e-5,0.6038046861202984,0.03616751286030696,77
foreleg,Tenth instar,38,3.321067255980962,27.68988699174976,4.177100672444674e-5,0.3317058123973417,0.02712183220576432,36
midleg,Female,118,3.1530614857799435,23.40761708341489,2.5899143822138535e-5,0.7273851783184733,0.030439547874769633,116
midleg,Eighth instar,77,3.175278050394741,23.93347365508557,1.1029710802785587e-4,0.6949429846047371,0.03842861684318705,75
midleg,Ninth instar,79,3.22565832115069,25.170138737509593,2.8082911068560095e-5,0.6545514409432992,0.036025139068789146,77
midleg,Tenth instar,38,3.267741511534817,26.25198254041335,4.1415556589807456e-5,0.3286954990814212,0.027006189128775324,36
hindleg,Female,118,3.6771814158470626,39.53480471039848,3.997273149331001e-5,0.8092826541358968,0.03781615827289369,116
hindleg,Eighth instar,76,3.6133086965090153,37.088564830495876,1.0489095493565909e-4,0.6583246730978278,0.037436055840635696,74
hindleg,Ninth instar,79,3.6726184366878183,39.3548191678664,2.6315366021395977e-5,0.5694827585690656,0.034873000111719565,77
hindleg,Tenth instar,38,3.715703738391463,41.08749175789456,5.579285968556861e-5,0.27262179218649696,0.03134518696234652,36
ear_lin,Female,118,0.5202733094248642,1.6824874265362406,5.817911998444203e-5,0.5143283204181369,0.045622498725406614,116
ear_lin,Eighth instar,78,0.524241862072551,1.6891777331037456,1.3502140365478178e-4,0.5473349737907657,0.042730885845222014,76
ear_lin,Ninth instar,79,0.5666427267230378,1.7623404498926123,5.1521725879537586e-5,0.5928062917850176,0.048795503649569104,77
ear_lin,Tenth instar,38,0.595087707557775,1.8131899684501884,1.188903585484449e-4,0.4183762646510766,0.0457567186151785,36
eye,Female,118,0.8999122492136967,2.4593872885193933,6.705580479660099e-5,0.7326687655875425,0.04897942511907506,116
eye,Eighth instar,78,0.9955094608239433,2.7061026434365645,2.493758429667228e-4,0.6535633177248654,0.05807213292288603,76
eye,Ninth instar,79,1.0538810890813195,2.8687634666744954,7.747120869227795e-5,0.5799292241716603,0.059834927559652605,77
eye,Tenth instar,38,1.1390418366125774,3.123773845066554,1.523374180166471e-4,0.44483092112594336,0.051794643577205056,36
