"scenario","analysis_tier","primary_analysis","analysis_reason","vector","trait","component","percent_difference","reported_scale"
"raw_log_six","sensitivity",FALSE,"Uses unstandardized log traits to test dependence on residual-SD standardization while retaining all six traits.","D8","head",0.37886575009884,46.0626933558915,"linear_trait_percent"
"raw_log_six","sensitivity",FALSE,"Uses unstandardized log traits to test dependence on residual-SD standardization while retaining all six traits.","D8","foreleg",0.058501663949774,6.02467498904693,"linear_trait_percent"
"raw_log_six","sensitivity",FALSE,"Uses unstandardized log traits to test dependence on residual-SD standardization while retaining all six traits.","D8","midleg",0.0228775885851169,2.31412877085928,"linear_trait_percent"
"raw_log_six","sensitivity",FALSE,"Uses unstandardized log traits to test dependence on residual-SD standardization while retaining all six traits.","D8","hindleg",-0.063872719338046,-6.18756029736791,"linear_trait_percent"
"raw_log_six","sensitivity",FALSE,"Uses unstandardized log traits to test dependence on residual-SD standardization while retaining all six traits.","D8","ear",0.00474284277671244,0.953081725747862,"ear_area_percent"
"raw_log_six","sensitivity",FALSE,"Uses unstandardized log traits to test dependence on residual-SD standardization while retaining all six traits.","D8","eye",0.0979542553381801,10.2912331602901,"linear_trait_percent"
"raw_log_six","sensitivity",FALSE,"Uses unstandardized log traits to test dependence on residual-SD standardization while retaining all six traits.","D9","head",0.508467832387612,66.2741643380726,"linear_trait_percent"
"raw_log_six","sensitivity",FALSE,"Uses unstandardized log traits to test dependence on residual-SD standardization while retaining all six traits.","D9","foreleg",0.107639731797604,11.364646169707,"linear_trait_percent"
"raw_log_six","sensitivity",FALSE,"Uses unstandardized log traits to test dependence on residual-SD standardization while retaining all six traits.","D9","midleg",0.0725968353707476,7.52969278254099,"linear_trait_percent"
"raw_log_six","sensitivity",FALSE,"Uses unstandardized log traits to test dependence on residual-SD standardization while retaining all six traits.","D9","hindleg",-0.00456297915924342,-0.455258458592334,"linear_trait_percent"
"raw_log_six","sensitivity",FALSE,"Uses unstandardized log traits to test dependence on residual-SD standardization while retaining all six traits.","D9","ear",0.0463694172981736,9.71751536552274,"ear_area_percent"
"raw_log_six","sensitivity",FALSE,"Uses unstandardized log traits to test dependence on residual-SD standardization while retaining all six traits.","D9","eye",0.153968839867623,16.6454539334289,"linear_trait_percent"
"raw_log_six","sensitivity",FALSE,"Uses unstandardized log traits to test dependence on residual-SD standardization while retaining all six traits.","D10","head",0.643702554914177,90.3515719308311,"linear_trait_percent"
"raw_log_six","sensitivity",FALSE,"Uses unstandardized log traits to test dependence on residual-SD standardization while retaining all six traits.","D10","foreleg",0.15655566157458,16.9475855374979,"linear_trait_percent"
"raw_log_six","sensitivity",FALSE,"Uses unstandardized log traits to test dependence on residual-SD standardization while retaining all six traits.","D10","midleg",0.114680025754875,12.1514524390175,"linear_trait_percent"
"raw_log_six","sensitivity",FALSE,"Uses unstandardized log traits to test dependence on residual-SD standardization while retaining all six traits.","D10","hindleg",0.0385223225444014,3.92739273374412,"linear_trait_percent"
"raw_log_six","sensitivity",FALSE,"Uses unstandardized log traits to test dependence on residual-SD standardization while retaining all six traits.","D10","ear",0.074814398132911,16.1403045554838,"ear_area_percent"
"raw_log_six","sensitivity",FALSE,"Uses unstandardized log traits to test dependence on residual-SD standardization while retaining all six traits.","D10","eye",0.23912958739888,27.0143120462794,"linear_trait_percent"
